genename PIP_sum PIP_0hr_GABA PIP_1hr_GABA PIP_6hr_GABA PIP_diff
GALK2 1.04997619615 0.0116612699951638 0.0472717957935702 0.991043130361268 1.02665365615967
ARL14EP 1.01628301027975 0.0199777914304129 0.0147671201996029 0.981538098649733 0.976327427418923
CROT 1.00573384842776 0.0157422736327313 NA 0.989991574795033 0.974249301162302
NDUFA6 0.976750582939686 0.00746944054537246 0.95952063663767 0.00976050575664378 0.961811701848941
EFHB 1.00453758535693 0.024229577708731 0.96468531035222 0.0156226972959778 0.956078429939467
MCHR1 0.963089861124381 0.00661888429365842 0.00428114953953385 0.952189827291189 0.949852092537064
RCC1 0.985139637893555 0.0198152168152959 0.935224445669162 0.0300999754090969 0.945509204262963
GGNBP2 0.993942996330636 0.0244289283206723 0.896371503429455 0.0731425645805087 0.945085139689292
GLTP 0.988993612722069 0.0221733543372555 0.00954635537467663 0.957273903010137 0.944646904047558
TMEM219 1.00335738251217 0.0298658180438983 NA 0.973491564468269 0.943625746424371
RBBP5 0.992645262985489 0.0270800278651135 0.377356215940788 0.588209019179588 0.938485207255263
XRN2 0.946345392140075 0.0158973332662217 0.021203230831356 0.909244828042497 0.914550725607631
CEBPZ 0.960106077928329 0.0265126650377633 0.0164908718056971 0.917102541084869 0.907080747852803
MFAP3 0.986281517631298 0.0703851833652404 0.451107242764254 0.464789091501804 0.845511150900818
FBXO44 0.871788298028845 0.0132595838216223 NA 0.858528714207223 0.845269130385601
ATP5MC1 0.959461812384284 0.070136880983829 0.347517187918786 0.541807743481669 0.819188050416626
CTNNAL1 0.830531217027703 0.0148830935157922 0.815648123511911 NA 0.800765029996119
LRMDA 0.864697864136749 0.0384553480703511 0.0102447252929913 0.815997790773407 0.787787167996047
TRIM33 0.818285412433283 0.0178043985309224 0.599118784990998 0.201362228911363 0.782676615371439
DNAH7 0.799144622270082 0.0106258893525826 0.138730495544455 0.649788237373044 0.777892843564917
MAP2K5 0.80260125654589 0.0146209164265267 0.768440275094607 0.019540065024756 0.773359423692836
SCML4 0.805385601226778 0.0198502459778879 0.78553535524889 NA 0.765685109271002
