genename PIP_sum PIP_0hr_GABA PIP_1hr_GABA PIP_6hr_GABA PIP_diff
GALK2 1.03214723092879 0.0211655106734697 0.0518845962212147 0.95909712403411 0.989816209581855
CROT 0.924289227090169 0.00940617449661962 NA 0.914883052593549 0.905476878096929
ARL14EP 0.940021936119141 0.0265763529460141 0.0192168213601683 0.894228761812959 0.886869230227113
EFHB 0.888155348867178 0.022014377507955 0.846402174620672 0.0197387967385506 0.844126593851268
MCHR1 0.837793067733094 0.00174320187986621 0.00135316430439203 0.834696701548836 0.834306663973362
NDUFA6 0.811653118409066 0.00461704678552111 0.800999964986275 0.0060361066372695 0.802419024838023
RBBP5 0.812898646737423 0.0258590020465367 0.308066330800393 0.478973313890493 0.761180642644349
TMEM219 0.840732044887522 0.0402823822346228 NA 0.800449662652899 0.760167280418276
FBXO44 0.754961908916441 0.0180680152958999 NA 0.736893893620541 0.718825878324641
ATP5MC1 0.82912031267566 0.0630460623038145 0.299493292240784 0.466580958131061 0.703028188068031
XRN2 0.727971658254929 0.0233653956274792 0.023306038001161 0.681300224626289 0.681240866999971
RCC1 0.697906828519379 0.0113373670132454 0.667375500232968 0.0191939612731652 0.675232094492888
GGNBP2 0.680790260815143 0.0259937217854875 0.575788981928266 0.07900755710139 0.628802817244169
SERPINI1 0.958331084129126 0.176221287867907 0.306003520357986 0.476106275903233 0.605888508393312
LRMDA 0.605809813148912 0.0253430845187017 0.00768054818586317 0.572786180444347 0.555123644111508
CEBPZ 0.557471124032715 0.0125988555631232 0.00852337799114133 0.53634889047845 0.532273412906468
NLRC5 0.597068358446833 0.0478447729234035 0.531957783389607 0.0172658021338228 0.501378812600026
CTNNAL1 0.437685450434992 0.0116853539605564 0.426000096474436 NA 0.41431474251388
HLA-DMA 0.817989608144986 0.223570116189767 0.302100758551632 0.292318733403587 0.370849375765452
FAM120AOS 0.413932335306189 0.0304196518528866 0.0253779313154494 0.358134752137853 0.353093031600416
MFAP3 0.486902712962564 0.071890208283387 0.203490663260199 0.211521841418978 0.34312229639579
RBM6 0.404935123743163 0.0404182191489712 0.0113168129661072 0.353200091628085 0.324098685445221
KCNMA1 0.496384060528112 0.0941317034387239 0.360868081716526 0.0413842753728623 0.308120653650664
SCML4 0.309135217003613 0.0182923750321551 0.290842841971458 NA 0.272550466939303
CHL1 0.685394006454088 0.218470357577329 0.182557378681198 0.284366270195561 0.24845329129943
MAP2K5 0.272932708335108 0.015514249179171 0.236922418987667 0.0204960401682704 0.241904209976766
GLTP 0.250782784684446 0.0445192317227247 0.00536017756404894 0.200903375397672 0.161744321238996
TRIM33 0.190080317768548 0.0170316389084221 0.0987752903499398 0.0742733885101863 0.156017039951704
NPIPB2 0.855414320435096 0.358871646847515 0.0296928925547154 0.466849781032866 0.137671026740066
ZNF365 0.0887392684661641 0.0100483873069912 0.0415639361306892 0.0371269450284837 0.0686424938521817
AS3MT 0 0 0 0 0
CHAC2 0.656570119774925 0.442758922561373 0.194852336365275 0.018958860848277 -0.228947725347821
ATG13 0.307132792397911 0.277096370445313 0.0194973143525035 0.0105391076000945 -0.247059948492715
PLAA 0.299661749926066 0.280555687975258 0.0102309506631602 0.00887511128764828 -0.261449626024449
TRA2B 0.376655859321179 0.346101124427081 NA 0.0305547348940977 -0.315546389532983
CCDC60 0.460971465973822 0.392377996364386 0.0223696705129051 0.0462237990965313 -0.32378452675495
INSYN2A 0.340432801228554 0.340432801228554 NA NA -0.340432801228554
ZNF852 0.377447629993333 0.368561277759165 0.00888635223416756 NA -0.359674925524997
PPFIA3 0.759089792432857 0.598148895392028 0.148302078204868 0.0126388188359607 -0.437207998351199
PCNX1 0.457167789771825 0.457167789771825 NA NA -0.457167789771825
NUDT22 0.782545921412442 0.640766108501387 0.141779812911055 NA -0.498986295590332
SYNGR1 0.60147006226864 0.560326367278794 0.0211162627512151 0.0200274322386305 -0.519182672288948
TBC1D13 0.724749669197193 0.694156342677319 0.00913677800302592 0.0214565485168478 -0.663563016157445
RASA3 0.801664825802619 0.755092455928861 0.0152470496015213 0.0313253202722367 -0.708520086055103
ANKRD39 0.839048453742727 0.788138374120176 0.0296519641834989 0.021258115439052 -0.737228294497625
PCDH7 0.86814523422594 0.842495412637965 0.00920439950999496 0.0164454220779797 -0.81684559104999
DCP1B 0.883939780728282 0.868550186340954 0.00333296890364998 0.0120566254836779 -0.853160591953626
CDPF1 0.977759198686018 0.936529740026005 0.0159119208690963 0.0253175377909166 -0.895300281365992
GPR137 0.79792231156454 NA 0.00738111099336114 0.790541200571179 NA
LRCH4 0.710942579465215 NA NA 0.710942579465215 NA
CDIP1 0.646017371665572 NA 0.605034283402017 0.0409830882635547 NA
