genename PIP_sum PIP_0hr_nmglut PIP_1hr_nmglut PIP_6hr_nmglut PIP_diff
TDRD6 1.09188025607515 0.00230069586655346 0.948502027339914 0.141077532868678 1.08727886434204
NGEF 1.0546695365768 0.00219489470516543 0.954051896975763 0.0984227448958723 1.05027974716647
HLA-DMA 1.03401274627745 0.00648633297943935 0.0843759081189823 0.94315050517903 1.02104008031857
GLIPR2 1.0352917836366 0.0080939616653809 0.98509148937569 0.0421063325955338 1.01910386030584
FOXN2 1.02546274730434 0.00693700998386948 0.988805200552358 0.029720536768114 1.0115887273366
CYP7B1 1.00405649672852 0.00265294861739429 0.0363761394065596 0.96502740870457 0.998750599493735
SERPINI1 0.999528136408424 0.00280816833823983 0.737451302490889 0.259268665579295 0.993911799731944
DNPH1 0.980604130288445 0.0154047897736642 0.938604418986604 0.0265949215281763 0.949794550741116
ACYP2 0.955120518137798 0.00322813241666065 0.0597018796349578 0.89219050608618 0.948664253304477
OXLD1 0.945736260777878 0.00273290349426514 0.0460262228423457 0.896977134441267 0.940270453789348
DCP1B 0.967093466362672 0.014734907744162 0.916914367483544 0.0354441911349658 0.937623650874348
CXXC5 0.925587572743767 0.0018701402004665 0.0253466203415156 0.898370812201785 0.921847292342834
CYP2D6 0.921408352966854 0.00170773282453218 0.84283343862193 0.076867181520392 0.91799288731779
ADAMTS2 0.897032686412228 0.00332357489268298 0.868319364394926 0.0253897471246188 0.890385536626862
ATE1 0.88588679949205 0.00577000527926375 0.505339419066196 0.37477737514659 0.874346788933522
CCDC122 0.883396577778962 0.00605807687413196 0.316295020342262 0.561043480562568 0.871280424030698
NPIPB2 0.959190994075611 0.0487694167896856 0.631495501288635 0.27892607599729 0.861652160496239
KALRN 0.866690191718939 0.00388572334275927 0.0486594357810733 0.814145032595106 0.85891874503342
TSPAN2 0.855609211214488 0.003242817621814 0.0349293804701649 0.817437013122509 0.84912357597086
DNAH7 0.857176743764874 0.00412136038056032 0.0409944644661099 0.812060918918204 0.848934023003754
KDM4C 0.851655947772871 0.00443445139218468 0.816529487621832 0.0306920087588543 0.842787044988502
SMYD5 0.847123397438222 0.00397279061824585 0.8180220332037 0.0251285736162761 0.83917781620173
METRN 0.841175109119201 0.0144959525991925 0.181246150570591 0.645433005949418 0.812183203920816
KCNN3 0.816892563244324 0.00298337637517931 0.813909186869145 NA 0.810925810493966
TNR 0.813938299537096 0.00230886469948144 0.0232147046613348 0.78841473017628 0.809320570138133
ATP5PO 0.938010715716909 0.0672226134934468 0.870788102223462 NA 0.803565488730015
C9orf72 0.797448632221 0.00224572417746827 0.096689115008263 0.698513793035269 0.792957183866064
CCDC57 0.798746576154385 0.00338223307970187 0.455315196474906 0.340049146599777 0.791982109994981
FZD4 0.786885185515533 0.00398168358971129 0.710409601944597 0.0724938999812249 0.778921818336111
CD46 0.882772767489083 0.0528716569190694 0.0409581113460569 0.788942999223957 0.777029453650945
EEFSEC 0.863009192430542 0.0508074380937119 0.475656345626882 0.336545408709948 0.761394316243118
SLC25A24 0.783604122370626 0.0340482311626344 0.429158345510254 0.320397545697738 0.715507660045358
UNC79 0.692914446712673 0.00284339279091128 0.461281180166247 0.228789873755515 0.687227661130851
CRAT 0.691509844088467 0.00228590254135574 0.358472129818263 0.330751811728848 0.686938039005755
BAZ2B 0.707211200479973 0.0135057426060604 0.664545473404561 0.0291599844693519 0.680199715267853
TRAPPC4 0.729859207921873 0.0417724423694461 0.688086765552427 NA 0.646314323182981
ABHD17C 0.63741869296107 0.00220137388645503 0.0605283276047826 0.574688991469832 0.63301594518816
APC2 0.648065906634121 0.0229812815703502 0.319828120450671 0.3052565046131 0.602103343493421
TRIM33 0.606266269277512 0.00422860907480982 0.585048785523179 0.016988874679523 0.597809051127892
ALG8 0.672205868766546 0.043036487165235 0.629169381601311 NA 0.586132894436076
ZFP82 0.583142714616245 0.00406956267938574 0.0479737306861168 0.531099421250742 0.575003589257473
KLHDC10 0.578265393312046 0.00491483155915029 0.344778532647112 0.228572029105784 0.568435730193746
PHACTR4 0.575009981463577 0.00446842604004494 0.0587075433068711 0.511834012116661 0.566073129383487
ARHGEF11 0.544719841906295 0.00354955011576319 0.262946331148755 0.278223960641777 0.537620741674769
CERS5 0.572467547706508 0.0182189347337425 0.289205040801573 0.265043572171192 0.536029678239023
METTL15 0.539702385585218 0.00205076630703416 0.0398304310424377 0.497821188235746 0.53560085297115
SNX19 0.586608419431817 0.0265297751153569 0.31876937093059 0.24130927338587 0.533548869201103
IGLL1 0.66036511810346 0.0643315920460531 NA 0.596033526057407 0.531701934011354
DNAJA1 0.586992256056016 0.0281779551786496 0.143130717246511 0.415683583630855 0.530636345698716
CCDC6 0.526221391215181 0.00432683990876737 0.274143654019329 0.247750897287085 0.517567711397647
PYGL 0.522256627375299 0.00350571625120977 0.0600453764930016 0.458705534631088 0.51524519487288
EXOC2 0.511219740443744 0.00368613192845813 0.374259859547391 0.133273748967895 0.503847476586828
RSRC2 0.502992117092639 0.00146391036279814 0.0233416658341619 0.478186540895679 0.500064296367043
DUSP16 0.531693123495705 0.0160150804353989 0.21209691287087 0.303581130189436 0.499662962624907
PSMA4 0.500558485496527 0.00276369943869115 0.305048341849376 0.19274644420846 0.495031086619145
RCBTB1 0.59157574203267 0.0517019632689746 0.0452870075101886 0.494586771253507 0.488171815494721
KIF17 0.489275465965688 0.00371943159439969 0.171120392470106 0.314435641901182 0.481836602776888
MYT1L 0.481708835578225 0.00231348975387113 NA 0.479395345824354 0.477081856070483
SPPL3 0.480640131894286 0.00368128380354948 0.331761540755439 0.145197307335297 0.473277564287187
COPE 0.482694173694919 0.00507182481438362 0.428558987400845 0.04906336147969 0.472550524066151
NR4A3 0.522318276745395 0.0266992374224533 0.396466122469791 0.0991529168531505 0.468919801900488
SNAI3 0.469651705153678 0.00582645773621093 0.0746030339449061 0.389222213472561 0.457998789681256
CDK11A 0.476271421111766 0.00932077473471549 0.265774487633383 0.201176158743667 0.457629871642335
ZNF667 0.468018067842829 0.00673865080060843 0.341294845093637 0.119984571948584 0.454540766241613
GSE1 0.46120842711659 0.00430143050764309 0.0679113975345311 0.388995599074416 0.452605566101304
MGST3 0.504710230807625 0.0263647396689437 0.30996815035584 0.168377340782841 0.451980751469737
ZCCHC7 0.467902568287153 0.00797984895151704 0.0670892149868091 0.392833504348827 0.451942870384119
CWF19L2 0.45032622659426 0.00307510767415542 0.254726065163353 0.192525053756752 0.44417601124595
