genename PIP_sum PIP_0hr_nmglut PIP_1hr_nmglut PIP_6hr_nmglut PIP_diff
SERPINI1 0.983715396038724 0.00378305237975851 0.722160044178131 0.257772299480835 0.976149291279207
NPIPB2 0.928503489936262 0.0476252965166356 0.610954192602951 0.269924000816675 0.83325289690299
DCP1B 0.693707665547525 0.011303560978662 0.653924947836265 0.028479156732598 0.671100543590201
HLA-DMA 0.622619913055614 0.000131245293703119 0.00176117705533496 0.620727490706576 0.622357422468208
TRIM33 0.275223968954973 0.00498250789265331 0.25311175326317 0.0171297077991502 0.265258953169667
LRMDA 0.243256795282781 0.00247680935480976 0.218847490402049 0.0219324955259227 0.238303176573162
ATP5MC1 0.183392933996609 0.00310873131763001 0.0428916872367038 0.137392515442275 0.177175471361349
SYNGR1 0.113008530380025 0.00310315895615243 0.0405732882793027 0.0693320831445698 0.10680221246772
GPR137 0.0854221414993722 0.00240472715674667 0.0648873284273683 0.0181300859152572 0.0806126871858788
MAP2K5 0.0862193476156055 0.00367054069173101 0.0475281197353564 0.0350206871885181 0.0788782662321435
EFHB 0.0535292765353592 0.00389131612449734 0.0496379604108619 NA 0.0457466442863646
PCNX1 0.0183902410435655 0.00272201204026123 NA 0.0156682290033043 0.0129462169630431
AS3MT 0 0 0 0 0
MFAP3 0.0320009536131684 0.0320009536131684 NA NA -0.0320009536131684
FBXO44 0.127692415861188 NA 0.0578930502612023 0.0697993655999857 NA
PCDH7 0.109548734234765 NA 0.0841425003936068 0.025406233841158 NA
