genename PIP_sum PIP_0hr_npglut PIP_1hr_npglut PIP_6hr_npglut PIP_diff
NAGA 1.00121580595241 0.00491688857734973 0.00286164134475009 0.993437276030311 0.991382028797711
THBS3 1.00618738147735 0.0122684749668098 NA 0.993918906510541 0.981650431543731
SMDT1 0.985864879220291 0.00577527083942586 0.469975079296368 0.510114529084497 0.974314337541439
ZNF823 1.04276633920279 0.0385086323075615 0.994315896634643 0.00994181026058161 0.965749074587663
OLA1 0.980449428551037 0.00780953828770337 NA 0.972639890263334 0.964830351975631
TMX1 0.986005980873675 0.0119219931355055 0.00644505161989672 0.967638936118273 0.962161994602664
GCH1 0.971266170005604 0.0155234824811706 0.00864273159940177 0.947099955925032 0.940219205043263
CRTAP 0.975254529742899 0.0315439999707318 0.205268618154899 0.738441911617268 0.912166529801435
SLC25A12 0.923515780211973 0.0118782940577683 0.893439778657054 0.0181977074971511 0.899759192096437
DISP3 0.917056595899111 0.0145463592102619 0.278708337984102 0.623801898704747 0.887963877478587
NGEF 0.905840602436938 0.0101174273057218 0.827358295781826 0.0683648793493906 0.885605747825495
TIGD1 0.931573696855228 0.0244330637343554 0.00868418287051331 0.898456450250359 0.882707569386517
CSNK2B 0.869622204146317 1.60608277566254e-05 4.38323279716713e-06 0.869601760085763 0.869590082490803
ABITRAM 0.874418326896925 0.0154500676632732 0.858968259233652 NA 0.843518191570379
ARHGEF7 0.887316920046025 0.0264777604475711 0.00626256093607835 0.854576598662376 0.834361399150883
PPP2R3C 0.916549928161457 0.043212425123349 0.857045012349406 0.016292490688702 0.830125077914759
ITSN1 0.887445277361347 0.0313299455781277 0.222631873162901 0.633483458620318 0.824785386205091
ALMS1 0.86125582969249 0.0195807335144153 0.816750610261143 0.0249244859169312 0.822094362663659
MAU2 0.821046869536226 0.0122063876566596 0.786840900657515 0.0219995812220513 0.796634094222907
EMC2 0.825545315926387 0.0174631950184599 0.00654545032820286 0.801536670579724 0.790618925889467
DNPH1 0.875869994542754 0.0449327888708593 0.802715694383493 0.0282215112884017 0.786004416801035
AUTS2 1.11172485599887 0.164412710452376 0.673812967260239 0.273499178286255 0.782899435094118
ZCCHC4 0.749617849841244 0.0115257356626687 0.00986957635449637 0.728222537824079 0.726566378515907
ATP5MC1 0.913045001965355 0.095690924467035 0.0100586328369584 0.807295444661362 0.721663153031285
ARL14EP 0.726772668727365 0.0164080370047188 0.0935523617309063 0.61681226999174 0.693956594717927
MOCS3 0.887166153288289 0.105679235734916 0.15319620527855 0.628290712274823 0.675807681818457
SLF2 0.698929167060454 0.0235029566695316 0.00694060838097887 0.668485602009944 0.651923253721391
FBXO28 0.67996057630912 0.0140443038493298 0.651339448404911 0.0145768240548793 0.65187196861046
