genename PIP_sum PIP_0hr_npglut PIP_1hr_npglut PIP_6hr_npglut PIP_diff
TMEM219 0.806079270392288 0.0160885583886153 0.00914637515916794 0.780844336844505 0.773902153615058
GGNBP2 0.658061557729037 0.0141440710380144 0.643917486691023 NA 0.629773415653009
ATP5MC1 0.736926974043238 0.08359254986336 0.00925406180642241 0.644080362373456 0.569741874316518
NPIPB2 0.81087187743837 0.248133715724727 0.246295906832548 0.316442254881095 0.314604445988916
ARL14EP 0.329691136881058 0.018290128820009 0.0808603474238547 0.230540660637194 0.29311087924104
FAM120AOS 0.197174590942419 0.00575499946897307 0.191419591473446 NA 0.185664592004473
SERPINI1 0.341749953390049 0.123749434073094 0.0608074568902951 0.15719306242666 0.0942510852438611
CDIP1 0.317816504191964 0.123625063736906 0.103155713998283 0.0910357264567749 0.0705663767181519
RASA3 0.0933985587352946 0.0187948236306964 0.0105020097847432 0.064101725319855 0.0558089114739018
HLA-DMA 0.781516062620189 0.364786888151054 0.127829657547737 0.288899516921398 0.051942286318081
SYNGR1 0.07386516132614 0.0139776795894305 0.0184825254124268 0.0414049563242827 0.045909802147279
RBBP5 0.0732903759157368 0.0145089645440966 0.027707559711358 0.0310738516602822 0.0442724468275436
CCDC60 0.0869628191949616 0.025665148973461 0.0203971430793292 0.0409005271421714 0.0356325212480396
KCNMA1 0.0737745110938279 0.0210010084559075 0.0123987696281824 0.040374733009738 0.0317724941820129
DCP1B 0.0420871186797075 0.00875815332757268 0.0225810099443112 0.0107479554078236 0.0245708120245621
LRMDA 0.0685041454296251 0.0246049982037688 0.00648841989116933 0.037410727334687 0.0192941490220875
ZNF365 0.0124022314301957 0.000475164198196376 0.00244877443705605 0.00947829279494328 0.011451903033803
MAP2K5 0.0512168602737698 0.0206801199985525 0.00911369630071224 0.0214230439745051 0.00985662027666484
ATG13 0.0270338537903745 0.00902327438882156 0.00730737037104645 0.0107032090305065 0.00898730501273139
NLRC5 0.0465201000082197 0.0203606450942758 0.00567028333106601 0.0204891715828779 0.00579880981966811
SCML4 0.0378880995529373 0.0163596161322401 NA 0.0215284834206972 0.0051688672884571
NDUFA6 0.00634212675730405 0.00126582706352418 NA 0.00507629969377987 0.00381047263025569
EFHB 0.0370575205553694 0.0171129147844572 NA 0.0199446057709122 0.002831690986455
AS3MT 0 0 0 0 0
CEBPZ 0.0297822848798658 0.0149939017361745 0.00430336486454519 0.0104850182791461 -0.00020551859248321
PCDH7 0.017952431911557 0.0117175844617474 0.00623484744980962 NA -0.00548273701193778
RBM6 0.105018657849348 0.0557485779484093 0.0317647362595621 0.0175053436413768 -0.0064784980474704
NUDT22 0.0429224900702515 0.0254395771717295 0.00530637837532055 0.0121765345232014 -0.00795666427320755
PLAA 0.0242425809372122 0.0164569337543021 NA 0.00778564718291008 -0.00867128657139202
TRA2B 0.0306014654615251 0.0227288981854611 0.007872567276064 NA -0.0148563309093971
MFAP3 0.0406950813607034 0.0280083473398171 NA 0.0126867340208863 -0.0153216133189308
TRIM33 0.148935746203565 0.0832440636373536 0.0656916825662112 NA -0.0175523810711424
ZNF852 0.0721678252315433 0.0544836695744876 0.00602083159985223 0.0116633240572035 -0.0367995139174319
CDPF1 0.263363821940129 0.225153785871499 0.0120291177085085 0.0261809183601214 -0.186943749802869
CHAC2 0.444625458737513 0.432195013938256 0.0124304447992567 NA -0.419764569138999
PCNX1 0.298596140836937 NA 0.289322939223457 0.00927320161347978 NA
FBXO44 0.152128421391007 NA 0.00931886793950321 0.142809553451504 NA
