chrom id pos type region_tag1 region_tag2 cs_index susie_pip mu2
1 ATAD3B 1443620 gene 1 1 0 0.0337872249288897 9.10665493799375
1 SDF4 1212042 gene 1 1 0 0.0244925899905856 6.2765608187941
1 HES4 1023351 gene 1 1 0 0.0213685029701872 5.04899139846656
1 MORN1 2270709 gene 1 2 0 0.0195028753332237 9.41006038825984
1 TPRG1L 3761369 gene 1 3 0 0.0256733502872092 4.59993129824103
1 CEP104 3852155 gene 1 3 0 0.0507085840461864 10.8196148408773
1 MEGF6 3700037 gene 1 3 0 0.0294857920451189 5.86025200372878
1 DFFB 3851132 gene 1 3 0 0.0255053707908932 4.54022349018784
1 C1orf174 3891607 gene 1 3 0 0.090768624574429 16.2132923022357
1 AJAP1 4663857 gene 1 4 0 0.0222768755158284 12.5079833977351
1 ACOT7 6236561 gene 1 5 0 0.0433776529511165 9.92405469273455
1 CAMTA1 6806918 gene 1 5 0 0.0729775954125472 17.2060923741036
1 THAP3 6438102 gene 1 5 0 0.0252337781462464 4.97576703345996
1 TNFRSF9 7879863 gene 1 6 0 0.0746561981902202 17.6606095395059
1 UTS2 7868292 gene 1 6 0 0.0237874928489409 7.51642828935516
1 UBE4B 10175981 gene 1 7 0 0.0430914814236763 6.78898408344327
1 MAD2L2 11527444 gene 1 8 0 0.0215730410691034 5.05003880299626
1 DISP3 11312484 gene 1 8 0 0.0298288481815954 7.83245672730028
1 PRDM2 13493080 gene 1 10 0 0.0347956592692045 8.90154947925695
1 FHAD1 15248505 gene 1 11 0 0.0277925607201461 11.1494912604279
1 TMEM51 15158677 gene 1 11 0 0.0138800377147991 4.84873500858977
1 NECAP2 16402442 gene 1 11 0 0.0143126828272512 5.1265991347621
1 CROCC 17063085 gene 1 12 0 0.0701155469732562 14.9715124014951
1 EMC1 19223265 gene 1 13 0 0.0193231717276716 5.43299806613132
1 ECE1 21409068 gene 1 14 0 0.0488433046386161 11.6991324515199
1 KIF17 20716809 gene 1 14 0 0.328355148905524 30.0381653045759
1 NBPF3 21449341 gene 1 15 0 0.0305891846318945 6.6390350467684
1 EPHA8 22616931 gene 1 15 0 0.0268014385681246 5.43517627759617
1 ASAP3 23465457 gene 1 16 0 0.022577324296599 4.80873265749086
1 ELOA 23499981 gene 1 16 0 0.04444685727089 10.9867091998202
1 STPG1 24428104 gene 1 17 0 0.031131595583536 7.146060218425
1 NIPAL3 24405200 gene 1 17 0 0.0310301679289146 7.11635559771539
1 FUCA1 23923667 gene 1 17 0 0.0322845039524479 7.47768877019405
1 CNKSR1 26201318 gene 1 18 0 0.0263538750218849 4.50071481604988
1 MACO1 25474299 gene 1 18 0 0.0286293444132829 5.25456341453862
1 ZNF593 26201460 gene 1 18 0 0.0269324548121201 4.69832101509108
1 HMGN2 26389645 gene 1 18 0 0.0508708315719103 10.511667192495
1 RPA2 27939692 gene 1 19 0 0.0198186507437033 12.4111935533424
